epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5598.94,0.54092,0.26416,0.85471,0.996,0.99496,0.99431,0.8762,0.57292,0.25255,0.86573,0.000955072,0.000955072,0.000955072
43,5732.01,0.5376,0.26221,0.85331,0.99699,0.99182,0.99423,0.88889,0.54223,0.25396,0.85694,0.000952889,0.000952889,0.000952889
44,5864.91,0.5358,0.2639,0.85234,0.99587,0.996,0.99415,0.88547,0.54676,0.2532,0.86278,0.000950658,0.000950658,0.000950658
45,5997.59,0.53051,0.26035,0.85157,0.99569,0.99201,0.99401,0.87392,0.58298,0.26038,0.86441,0.000948377,0.000948377,0.000948377
46,6130.25,0.53451,0.26142,0.84931,0.99401,0.99472,0.99467,0.88328,0.55544,0.25202,0.86367,0.000946048,0.000946048,0.000946048
47,6263.16,0.53156,0.25896,0.85209,0.99669,0.995,0.99462,0.88188,0.56727,0.26124,0.86205,0.000943671,0.000943671,0.000943671
48,6395.87,0.53964,0.25893,0.85264,0.99558,0.99301,0.99467,0.88401,0.57185,0.25263,0.86671,0.000941245,0.000941245,0.000941245
49,6528.78,0.5356,0.2617,0.8537,0.99582,0.996,0.99439,0.88374,0.56409,0.24631,0.85905,0.000938772,0.000938772,0.000938772
50,6661.6,0.52598,0.25137,0.85176,0.99699,0.99295,0.99434,0.87937,0.568,0.24734,0.86048,0.000936251,0.000936251,0.000936251
51,6794.46,0.53297,0.25894,0.85199,0.99598,0.99077,0.9942,0.88496,0.55021,0.25516,0.85499,0.000933683,0.000933683,0.000933683
